spec,env,r,p
IFC,BWOC,0.012230607,0.230338845
IFC,TOMI,0.055701895,0.000000046
IFC,TFP,0.053167192,0.000000181
IFC,TFT,-0.106610384,0.000000000
IFC,SPOF,-0.011359327,0.265265431
IFC,PDOIF,-0.058028382,0.000000012
IFC,PDOUF,-0.026147439,0.010326868
IFC,PDOCF,0.012707777,0.212658892
IFC,OER,0.032014761,0.001686851
IFC,TCT,0.078478769,0.000000000
IFC,UROCG,0.136176806,0.000000000
IFC,BGV,0.026854436,0.008437088
IFC,TLOF,0.022546087,0.027011608
IFC,API,0.092562335,0.000000000
IFC,TOCW,0.008575703,0.400334004
IFC,SWS,-0.006079769,0.551013903
IFC,FOCG,-0.006660229,0.513647803
IFC,TOCA,0.002895602,0.776434140
IFC,AH,-0.011151844,0.274094233
HC,C_C,-0.000273001,0.978640854
HC,C_SI,0.889920285,0.000000000
HC,C_MN,0.002557248,0.801978924
HC,C_P,-0.007027304,0.490717442
HC,C_S1,0.953436461,0.000000000
HC,C_CU,-0.014791321,0.146878120
HC,C_MO,0.001091577,0.914749546
HC,C_CAO,0.004670533,0.646926330
HC,C_SIO2,0.011950007,0.241210990
HC,C_MGO,-0.018005618,0.077407013
HC,C_AL2O3,-0.007349309,0.471064563
HC,C_FEO,0.953903677,0.000000000
HC,C_S2,-0.000410965,0.967851636
HC,BA,-0.014979248,0.141811080
HC,CCO,-0.053744431,0.000000133
HC,CCO2,0.058611962,0.000000009
HC,CH2,0.011775348,0.248158022
HC,CN2,-0.005374651,0.598131299
HC,C_SO2,-0.004063579,0.690252693
HC,PE,0.007421916,0.466693876
HC,FOCA,0.077008664,0.000000000
HC,POCA,-0.381948298,0.000000000
HC,OEF,0.000395178,0.969085974
HC,OEP,-0.008219828,0.420172111
HC,TOHA,-0.007457801,0.464542120
HC,POHA,0.002210938,0.828345166
HC,AWS,-0.083174955,0.000000000
HC,FOCW,0.008999131,0.377478188
HC,BKE,-0.004167359,0.682767230
HC,FOTCW,-0.011256336,0.269623109
HC,CIV,0.003791773,0.709999952
HC,FS,-0.006125046,0.548051895
HC,FA,-0.005383335,0.597540054
HC,NOCR,0.006189021,0.543880094
HC,BWOO,0.003567027,0.726477285
HC,BWOC,-0.002442705,0.810676304
HC,TOMI,-0.605910362,0.000000000
HC,TFP,-0.429077743,0.000000000
HC,TFT,-0.007835248,0.442246271
HC,SPOF,-0.007536801,0.459824483
HC,PDOIF,-0.076099927,0.000000000
HC,PDOUF,-0.064060046,0.000000000
HC,PDOCF,0.010503173,0.302980648
HC,OER,-0.705477133,0.000000000
HC,TCT,-0.905849274,0.000000000
HC,UROCG,-0.359432648,0.000000000
HC,BGV,0.004941898,0.627925199
HC,TLOF,-0.624057029,0.000000000
HC,API,0.118248529,0.000000000
HC,TOCW,0.019478564,0.056078948
HC,SWS,-0.011849370,0.245196928
HC,FOCG,-0.007989261,0.433327591
HC,TOCA,-0.002919502,0.774638567
HC,AH,0.000137240,0.989261650
OH,C_C,0.003428251,0.736715802
OH,C_SI,-0.443829681,0.000000000
OH,C_MN,0.002529742,0.804065294
OH,C_P,-0.007258720,0.476549195
OH,C_S1,-0.071449504,0.000000000
OH,C_CU,-0.010728485,0.292725897
OH,C_MO,0.012798547,0.209409712
OH,C_CAO,0.027751018,0.006488132
OH,C_SIO2,-0.014795860,0.146754123
OH,C_MGO,0.003735090,0.714143241
OH,C_AL2O3,0.011642766,0.253524084
OH,C_FEO,-0.071668827,0.000000000
OH,C_S2,0.020103653,0.048639135
OH,BA,0.000835215,0.934719376
OH,CCO,-0.021296938,0.036725448
OH,CCO2,0.025336502,0.012950756
OH,CH2,0.011300214,0.267760581
OH,CN2,0.001550646,0.879131595
OH,C_SO2,0.005884471,0.563879807
OH,PE,0.019721314,0.053084267
OH,FOCA,0.039165091,0.000121862
OH,POCA,0.109656939,0.000000000
OH,OEF,0.010250448,0.314763944
OH,OEP,-0.010117346,0.321089284
OH,TOHA,-0.009788905,0.337050358
OH,POHA,-0.010519260,0.302240658
OH,AWS,-0.048174088,0.000002277
OH,FOCW,0.006928801,0.496816242
OH,BKE,0.016492637,0.105765224
