Var1,Var2,R value,P value
C_NI,C_V,0.519000000,0.959402791
C_NI,C_TI,-0.335400000,0.742187390
C_NI,C_CR,-0.134960000,0.185591025
C_NI,C_NI,1.000000000,0.000000000
C_NI,C_CAO,-0.456800000,0.654133396
C_NI,C_SIO2,-0.677900000,0.506123720
C_NI,C_MGO,0.639300000,0.530642342
C_NI,C_AL2O3,-0.213630000,0.036126403
C_NI,C_FEO,0.121310000,0.234108998
C_NI,C_S2,0.770000000,0.939800286
C_NI,C_TIO2,-0.461900000,0.650527465
C_NI,C_V2O5,-0.993800000,0.329692389
C_NI,BA,0.124770000,0.221035255
C_NI,CCO,0.167710000,0.099969929
C_NI,CCO2,-0.318900000,0.754451697
C_NI,CH2,0.122500000,0.904366796
C_NI,CN2,-0.133510000,0.190361059
C_NI,C_CH4,-0.152940000,0.133586244
C_NI,FOCA,0.228610000,0.024930483
C_NI,POCA,-0.511000000,0.616239370
C_NI,OEF,0.179980000,0.077501650
C_NI,OEP,0.000000000,1.000000000
C_NI,TOHA,0.000000000,1.000000000
C_NI,POHA,-0.108130000,0.288890015
C_NI,AWS,0.714000000,0.944171015
C_NI,FOCW,0.204240000,0.045137003
C_NI,BKE,-0.724600000,0.477276281
C_NI,FOTCW,0.000000000,1.000000000
C_NI,CIV,-0.645000000,0.949558676
C_NI,FS,0.154870000,0.128752091
C_NI,FA,-0.833500000,0.413640990
C_NI,NOCR,0.000000000,1.000000000
C_NI,BWOO,0.000000000,1.000000000
C_NI,BWOC,-0.825800000,0.417968567
C_NI,TOMI,-0.269300000,0.791681782
C_NI,TFP,-0.940600000,0.356240747
C_NI,TFT,-0.986900000,0.333061494
C_NI,SPOF,0.914400000,0.369797053
C_NI,PDOIF,0.852500000,0.403076659
C_NI,PDOUF,-0.331600000,0.745006231
C_NI,PDOCF,0.621500000,0.542148557
C_NI,OER,-0.847900000,0.405619398
C_NI,TCT,-0.175750000,0.084730875
C_NI,UROCG,-0.116530000,0.253057703
C_NI,BGV,-0.957900000,0.347463433
C_NI,TLOF,-0.945400000,0.353791528
C_NI,API,0.823600000,0.419209898
C_NI,TOCW,0.129250000,0.204896293
C_NI,SWS,0.229120000,0.024609227
C_NI,FOCG,0.000000000,1.000000000
C_NI,ABT,-0.944400000,0.354300902
C_NI,VST,0.000000000,1.000000000
C_CAO,C_C,-0.708300000,0.487241684
C_CAO,C_SI,0.942000000,0.926387799
C_CAO,C_MN,-0.910000000,0.372104724
C_CAO,C_P,0.114930000,0.259632676
C_CAO,C_S1,-0.700000000,0.945263965
C_CAO,C_V,-0.798000000,0.937615592
C_CAO,C_TI,-0.131350000,0.197633240
C_CAO,C_CR,-0.935800000,0.358700625
C_CAO,C_NI,-0.456800000,0.654133396
C_CAO,C_CAO,1.000000000,0.000000000
C_CAO,C_SIO2,0.106050000,0.298266700
C_CAO,C_MGO,0.134600000,0.894972854
C_CAO,C_AL2O3,0.303900000,0.765655141
C_CAO,C_FEO,0.264500000,0.795311555
C_CAO,C_S2,0.731400000,0.473152140
C_CAO,C_TIO2,-0.285200000,0.779690784
C_CAO,C_V2O5,0.520500000,0.609697774
C_CAO,BA,0.461000000,0.963936381
C_CAO,CCO,0.753300000,0.460004181
C_CAO,CCO2,0.798200000,0.433697909
C_CAO,CH2,0.324700000,0.750133367
C_CAO,CN2,-0.151000000,0.988183812
C_CAO,C_CH4,0.924100000,0.364741184
C_CAO,FOCA,-0.410000000,0.996791523
C_CAO,POCA,0.376200000,0.712146589
C_CAO,OEF,-0.674700000,0.508133455
C_CAO,OEP,0.000000000,1.000000000
C_CAO,TOHA,0.000000000,1.000000000
C_CAO,POHA,-0.315100000,0.757285126
C_CAO,AWS,-0.194060000,0.056975168
C_CAO,FOCW,0.599000000,0.953151747
C_CAO,BKE,-0.114210000,0.262629669
C_CAO,FOTCW,0.000000000,1.000000000
C_CAO,CIV,-0.817700000,0.422549605
C_CAO,FS,-0.108040000,0.289291580
C_CAO,FA,-0.160550000,0.115311707
C_CAO,NOCR,0.000000000,1.000000000
C_CAO,BWOO,0.000000000,1.000000000
C_CAO,BWOC,0.967600000,0.342602760
C_CAO,TOMI,0.100200000,0.325717328
C_CAO,TFP,-0.154160000,0.130514408
C_CAO,TFT,-0.402100000,0.693302387
C_CAO,SPOF,0.957000000,0.925219041
C_CAO,PDOIF,-0.466400000,0.647352537
C_CAO,PDOUF,-0.176270000,0.083813797
C_CAO,PDOCF,0.439200000,0.666639059
C_CAO,OER,-0.399700000,0.695040830
C_CAO,TCT,0.766600000,0.452120194
C_CAO,UROCG,0.131400000,0.197462636
C_CAO,BGV,0.106500000,0.296221057
C_CAO,TLOF,-0.472700000,0.642918404
C_CAO,API,0.202200000,0.842797802
C_CAO,TOCW,0.670900000,0.510525441
C_CAO,SWS,-0.145910000,0.152387920
C_CAO,FOCG,0.000000000,1.000000000
C_CAO,ABT,0.190450000,0.061750236
C_CAO,VST,0.000000000,1.000000000
C_SIO2,C_C,0.165640000,0.104228026
C_SIO2,C_SI,-0.175850000,0.084553887
C_SIO2,C_MN,-0.144150000,0.157396271
C_SIO2,C_P,-0.117500000,0.249128559
C_SIO2,C_S1,-0.202040000,0.047502593
C_SIO2,C_V,-0.983800000,0.334582358
C_SIO2,C_TI,-0.102650000,0.314027064
C_SIO2,C_CR,0.732700000,0.472365939
C_SIO2,C_NI,-0.677900000,0.506123720
C_SIO2,C_CAO,0.106050000,0.298266700
C_SIO2,C_SIO2,1.000000000,0.000000000
C_SIO2,C_MGO,0.784000000,0.938707881
C_SIO2,C_AL2O3,-0.132000000,0.896990191
C_SIO2,C_FEO,-0.271780000,0.007674032
C_SIO2,C_S2,0.354000000,0.728440377
C_SIO2,C_TIO2,0.660000000,0.517419180
C_SIO2,C_V2O5,0.812400000,0.425562927
C_SIO2,BA,0.712800000,0.484479323
C_SIO2,CCO,-0.660000000,0.948387241
C_SIO2,CCO2,-0.400440000,0.000085281
C_SIO2,CH2,-0.670000000,0.994756902
C_SIO2,CN2,0.278400000,0.784812779
C_SIO2,C_CH4,0.111650000,0.273478646
C_SIO2,FOCA,0.107240000,0.292877565
C_SIO2,POCA,-0.209700000,0.837047137
C_SIO2,OEF,0.534000000,0.958230518
C_SIO2,OEP,0.000000000,1.000000000
C_SIO2,TOHA,0.000000000,1.000000000
C_SIO2,POHA,-0.409400000,0.688024573
C_SIO2,AWS,0.258550000,0.011204422
C_SIO2,FOCW,0.148140000,0.146217433
C_SIO2,BKE,-0.852900000,0.402856003
C_SIO2,FOTCW,0.000000000,1.000000000
C_SIO2,CIV,0.105570000,0.300459095
C_SIO2,FS,0.145550000,0.153402363
C_SIO2,FA,-0.333500000,0.743596381
C_SIO2,NOCR,0.000000000,1.000000000
C_SIO2,BWOO,0.000000000,1.000000000
C_SIO2,BWOC,0.789600000,0.438668125
C_SIO2,TOMI,0.903000000,0.375794368
C_SIO2,TFP,0.165650000,0.104207114
C_SIO2,TFT,0.106880000,0.294500952
C_SIO2,SPOF,0.205400000,0.043930199
C_SIO2,PDOIF,-0.814300000,0.424481240
C_SIO2,PDOUF,0.222040000,0.029404867
C_SIO2,PDOCF,-0.478600000,0.638777302
C_SIO2,OER,0.884500000,0.385653783
C_SIO2,TCT,0.120970000,0.235422661
C_SIO2,UROCG,-0.919000000,0.367394018
C_SIO2,BGV,-0.585100000,0.566058867
C_SIO2,TLOF,0.508400000,0.618035056
C_SIO2,API,0.858200000,0.399939155
C_SIO2,TOCW,0.113680000,0.264850995
C_SIO2,SWS,0.919300000,0.367237637
C_SIO2,FOCG,0.000000000,1.000000000
C_SIO2,ABT,0.130090000,0.201968123
C_SIO2,VST,0.000000000,1.000000000
C_MGO,C_C,0.972800000,0.340015023
